time,open,high,low,close,tick_volume,spread,real_volume,Datetime,month,year,day_week,date,symbol
1555286400,1290.44,1291.88,1282.46,1287.79,41976,0,0,15.04.2019,4,2019,0,15.04.2019,XAUUSD
1555372800,1287.71,1288.67,1272.91,1276.7,44718,0,0,16.04.2019,4,2019,1,16.04.2019,XAUUSD
1555459200,1276.48,1279.71,1272.98,1273.9,41214,0,0,17.04.2019,4,2019,2,17.04.2019,XAUUSD
1555545600,1273.55,1277.59,1271.07,1275.37,39590,0,0,18.04.2019,4,2019,3,18.04.2019,XAUUSD
1555891200,1275.71,1279.74,1273.75,1274.77,32507,0,0,22.04.2019,4,2019,0,22.04.2019,XAUUSD
1555977600,1274.75,1276.45,1266.24,1272.09,39093,0,0,23.04.2019,4,2019,1,23.04.2019,XAUUSD
1556064000,1272.11,1278.5,1268.69,1275.51,40294,0,0,24.04.2019,4,2019,2,24.04.2019,XAUUSD
1556150400,1275.66,1282.5,1273.3,1277.08,42544,0,0,25.04.2019,4,2019,3,25.04.2019,XAUUSD
1556236800,1276.86,1288.62,1273.83,1285.8,45116,0,0,26.04.2019,4,2019,4,26.04.2019,XAUUSD
1556496000,1287.13,1287.13,1277.99,1279.7,37126,0,0,29.04.2019,4,2019,0,29.04.2019,XAUUSD
1556582400,1279.88,1286.15,1279.57,1283.35,41554,0,0,30.04.2019,4,2019,1,30.04.2019,XAUUSD
1556668800,1283.07,1287.16,1272.87,1276.54,49678,0,0,01.05.2019,5,2019,2,01.05.2019,XAUUSD
1556755200,1276.84,1277.96,1266.21,1270.37,45225,0,0,02.05.2019,5,2019,3,02.05.2019,XAUUSD
1556841600,1270.45,1282.49,1268.02,1278.97,45568,0,0,03.05.2019,5,2019,4,03.05.2019,XAUUSD
1557100800,1280.92,1285.7,1276.97,1280.31,51333,0,0,06.05.2019,5,2019,0,06.05.2019,XAUUSD
1557187200,1281.04,1286.03,1278.17,1284.29,42803,0,0,07.05.2019,5,2019,1,07.05.2019,XAUUSD
1557273600,1283.93,1291.43,1279.31,1280.72,43132,0,0,08.05.2019,5,2019,2,08.05.2019,XAUUSD
1557360000,1280.8,1288.17,1279.58,1283.82,48458,0,0,09.05.2019,5,2019,3,09.05.2019,XAUUSD
1557446400,1283.94,1289.34,1283.12,1285.77,47213,0,0,10.05.2019,5,2019,4,10.05.2019,XAUUSD
1557705600,1287.27,1301.2,1281.94,1299.7,45779,0,0,13.05.2019,5,2019,0,13.05.2019,XAUUSD
1557792000,1299.81,1303.25,1293.67,1296.83,38821,0,0,14.05.2019,5,2019,1,14.05.2019,XAUUSD
1557878400,1296.66,1300.82,1292.97,1296.4,42081,0,0,15.05.2019,5,2019,2,15.05.2019,XAUUSD
1557964800,1296.32,1298.67,1284.06,1286.53,41962,0,0,16.05.2019,5,2019,3,16.05.2019,XAUUSD
1558051200,1286.61,1288.87,1274.78,1277.54,40973,0,0,17.05.2019,5,2019,4,17.05.2019,XAUUSD
1558310400,1277.01,1278.98,1273.61,1277.66,39529,0,0,20.05.2019,5,2019,0,20.05.2019,XAUUSD
1558396800,1277.25,1277.88,1269.46,1274.66,33923,0,0,21.05.2019,5,2019,1,21.05.2019,XAUUSD
1558483200,1274.36,1277.25,1272.44,1273.26,33143,0,0,22.05.2019,5,2019,2,22.05.2019,XAUUSD
1558569600,1273.27,1287.23,1271.27,1283.33,43932,0,0,23.05.2019,5,2019,3,23.05.2019,XAUUSD
1558656000,1282.78,1285.19,1280.68,1284.66,35232,0,0,24.05.2019,5,2019,4,24.05.2019,XAUUSD
1558915200,1284.13,1287.34,1283.72,1284.95,19131,0,0,27.05.2019,5,2019,0,27.05.2019,XAUUSD
1559001600,1285.05,1286.58,1276.06,1279.3,39716,0,0,28.05.2019,5,2019,1,28.05.2019,XAUUSD
1559088000,1279.27,1285.52,1279.03,1279.76,45939,0,0,29.05.2019,5,2019,2,29.05.2019,XAUUSD
1559174400,1280.08,1289.1,1274.98,1288.34,41929,0,0,30.05.2019,5,2019,3,30.05.2019,XAUUSD
1559260800,1287.96,1306.88,1287.94,1305.37,54889,0,0,31.05.2019,5,2019,4,31.05.2019,XAUUSD
1559520000,1307.51,1327.92,1305.9,1324.64,58190,0,0,03.06.2019,6,2019,0,03.06.2019,XAUUSD
1559606400,1324.72,1329.01,1319.93,1325.23,57736,0,0,04.06.2019,6,2019,1,04.06.2019,XAUUSD
1559692800,1325.23,1344.01,1324.48,1330.15,69478,0,0,05.06.2019,6,2019,2,05.06.2019,XAUUSD
1559779200,1330.93,1339.73,1327.19,1335.38,56778,0,0,06.06.2019,6,2019,3,06.06.2019,XAUUSD
1559865600,1334.93,1348.18,1330.23,1340.43,57132,0,0,07.06.2019,6,2019,4,07.06.2019,XAUUSD
1560124800,1336.02,1337.7,1325.04,1327.89,53781,0,0,10.06.2019,6,2019,0,10.06.2019,XAUUSD
1560211200,1327.79,1329.82,1319.84,1326.72,45151,0,0,11.06.2019,6,2019,1,11.06.2019,XAUUSD
1560297600,1325.89,1338.33,1325.89,1333.43,52881,0,0,12.06.2019,6,2019,2,12.06.2019,XAUUSD
1560384000,1333.84,1343.07,1332.34,1341.86,49120,0,0,13.06.2019,6,2019,3,13.06.2019,XAUUSD
1560470400,1342.27,1358.09,1337.77,1341.37,67082,0,0,14.06.2019,6,2019,4,14.06.2019,XAUUSD
1560729600,1341.79,1343.46,1332.94,1339.57,57252,0,0,17.06.2019,6,2019,0,17.06.2019,XAUUSD
1560816000,1339.12,1354.59,1338.56,1346.52,70058,0,0,18.06.2019,6,2019,1,18.06.2019,XAUUSD
1560902400,1346.62,1362.49,1341.28,1360.24,74319,0,0,19.06.2019,6,2019,2,19.06.2019,XAUUSD
1560988800,1360.37,1393.89,1357.66,1388.26,115393,0,0,20.06.2019,6,2019,3,20.06.2019,XAUUSD
1561075200,1387.22,1411.71,1382.42,1399.27,121401,0,0,21.06.2019,6,2019,4,21.06.2019,XAUUSD
1561334400,1400.02,1421.4,1399.76,1419.41,96077,0,0,24.06.2019,6,2019,0,24.06.2019,XAUUSD
1561420800,1419.39,1439.04,1411.88,1423.2,138386,0,0,25.06.2019,6,2019,1,25.06.2019,XAUUSD
1561507200,1423.41,1424.41,1401.71,1408.93,116444,0,0,26.06.2019,6,2019,2,26.06.2019,XAUUSD
1561593600,1409.05,1412.05,1398.56,1409.79,83178,0,0,27.06.2019,6,2019,3,27.06.2019,XAUUSD
1561680000,1409.66,1424.62,1405.62,1409.25,85718,0,0,28.06.2019,6,2019,4,28.06.2019,XAUUSD
1561939200,1387.12,1398.12,1381.72,1384.23,104198,0,0,01.07.2019,7,2019,0,01.07.2019,XAUUSD
1562025600,1383.07,1420.94,1383.07,1418.13,88984,0,0,02.07.2019,7,2019,1,02.07.2019,XAUUSD
1562112000,1421.25,1437.57,1412.05,1418.8,121377,0,0,03.07.2019,7,2019,2,03.07.2019,XAUUSD
1562198400,1418.7,1421.63,1410.19,1415.26,55202,0,0,04.07.2019,7,2019,3,04.07.2019,XAUUSD
1562284800,1415.67,1424.13,1386.71,1398.77,100134,0,0,05.07.2019,7,2019,4,05.07.2019,XAUUSD
1562544000,1398.25,1407.57,1391.7,1395.19,80368,0,0,08.07.2019,7,2019,0,08.07.2019,XAUUSD
1562630400,1395.51,1400.03,1385.76,1397.48,72370,0,0,09.07.2019,7,2019,1,09.07.2019,XAUUSD
1562716800,1397.36,1418.89,1389.87,1418.76,82350,0,0,10.07.2019,7,2019,2,10.07.2019,XAUUSD
1562803200,1418.69,1427.09,1400.76,1403.74,84445,0,0,11.07.2019,7,2019,3,11.07.2019,XAUUSD
1562889600,1404.29,1416.83,1402.89,1415.3,70309,0,0,12.07.2019,7,2019,4,12.07.2019,XAUUSD
1563148800,1415.67,1419.67,1407.69,1413.77,66399,0,0,15.07.2019,7,2019,0,15.07.2019,XAUUSD
1563235200,1414.46,1418.19,1400.92,1405.72,73625,0,0,16.07.2019,7,2019,1,16.07.2019,XAUUSD
1563321600,1406.15,1426.71,1400.06,1426.08,66341,0,0,17.07.2019,7,2019,2,17.07.2019,XAUUSD
1563408000,1426.41,1448.05,1414.5,1446.02,95268,0,0,18.07.2019,7,2019,3,18.07.2019,XAUUSD
1563494400,1446.61,1452.9,1420.15,1425.31,107679,0,0,19.07.2019,7,2019,4,19.07.2019,XAUUSD
1563753600,1427.36,1429.93,1422.19,1424.56,68300,0,0,22.07.2019,7,2019,0,22.07.2019,XAUUSD
1563840000,1425.22,1430.1,1414.18,1417.47,72841,0,0,23.07.2019,7,2019,1,23.07.2019,XAUUSD
1563926400,1417.91,1429.43,1416.26,1425.44,62637,0,0,24.07.2019,7,2019,2,24.07.2019,XAUUSD
1564012800,1426.18,1433.72,1410.97,1414.16,74573,0,0,25.07.2019,7,2019,3,25.07.2019,XAUUSD
1564099200,1414.88,1424.75,1413.44,1418.31,57817,0,0,26.07.2019,7,2019,4,26.07.2019,XAUUSD
1564358400,1418.95,1428.06,1414.73,1426.75,54674,0,0,29.07.2019,7,2019,0,29.07.2019,XAUUSD
1564444800,1426.6,1433.18,1422.24,1430.67,59633,0,0,30.07.2019,7,2019,1,30.07.2019,XAUUSD
1564531200,1431.01,1434.34,1410.46,1412.54,86547,0,0,31.07.2019,7,2019,2,31.07.2019,XAUUSD
1564617600,1413.27,1446,1400.48,1444.49,114743,0,0,01.08.2019,8,2019,3,01.08.2019,XAUUSD
1564704000,1444.77,1449.05,1430.24,1440.68,125647,0,0,02.08.2019,8,2019,4,02.08.2019,XAUUSD
1564963200,1441.51,1469.68,1436.71,1463.69,126201,0,0,05.08.2019,8,2019,0,05.08.2019,XAUUSD
1565049600,1468.67,1474.84,1456.36,1474.27,112871,0,0,06.08.2019,8,2019,1,06.08.2019,XAUUSD
1565136000,1474.34,1510.32,1472.13,1501.07,147609,0,0,07.08.2019,8,2019,2,07.08.2019,XAUUSD
1565222400,1500.3,1509.46,1489.98,1500.97,116546,0,0,08.08.2019,8,2019,3,08.08.2019,XAUUSD
1565308800,1504.02,1509.1,1494.72,1497.12,101854,0,0,09.08.2019,8,2019,4,09.08.2019,XAUUSD
1565568000,1497.76,1519.8,1487.33,1510.87,95621,0,0,12.08.2019,8,2019,0,12.08.2019,XAUUSD
1565654400,1510.75,1534.96,1479.87,1501.08,141342,0,0,13.08.2019,8,2019,1,13.08.2019,XAUUSD
1565740800,1501.96,1523.98,1494.11,1516.34,137404,0,0,14.08.2019,8,2019,2,14.08.2019,XAUUSD
1565827200,1515.92,1526.93,1507.84,1523.04,140440,0,0,15.08.2019,8,2019,3,15.08.2019,XAUUSD
1565913600,1523.06,1527.97,1503.69,1513.32,100830,0,0,16.08.2019,8,2019,4,16.08.2019,XAUUSD
1566172800,1512.21,1512.88,1493.19,1495.86,89965,0,0,19.08.2019,8,2019,0,19.08.2019,XAUUSD
1566259200,1495.92,1508.47,1492.79,1507.22,71337,0,0,20.08.2019,8,2019,1,20.08.2019,XAUUSD
1566345600,1507.75,1507.99,1496.48,1502.35,69506,0,0,21.08.2019,8,2019,2,21.08.2019,XAUUSD
1566432000,1502.29,1504.49,1492.44,1497.92,66233,0,0,22.08.2019,8,2019,3,22.08.2019,XAUUSD
1566518400,1498.39,1530.15,1493.49,1526.6,90448,0,0,23.08.2019,8,2019,4,23.08.2019,XAUUSD
1566777600,1535.33,1554.95,1525,1527.15,138213,0,0,26.08.2019,8,2019,0,26.08.2019,XAUUSD
1566864000,1527.21,1544.6,1525.63,1542.42,78198,0,0,27.08.2019,8,2019,1,27.08.2019,XAUUSD
1566950400,1542,1546.81,1531.81,1539.07,87310,0,0,28.08.2019,8,2019,2,28.08.2019,XAUUSD
